"PARAMETER_KEY","Result","NAME","ABBREVIATION","Name.full","SAMPLE_DATE","SAMPLE_TIME","STATION_KEY","LOCATION_DESCRIPTION","SAMPLE_MATRIX","METHOD_DETECTION_LIMIT","METHOD_REPORTING_LIMIT","QA_QC_TYPE","STATUS","UNIT","SUBPROJECT_NAME","Result_clean"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:06,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:00,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:51:53,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:51:48,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:53:02,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:53:01,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:56,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:55,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:43,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:37,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:25,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:24,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:19,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:52:18,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:51:47,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:51:42,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:51:41,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:51:29,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:51:23,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
5229,34,"Salinity","Field","FieldSalinity",2003-06-14,1899-12-30 00:51:11,30219,"OR03-0005 Pacific Ocean, 5.4 nautical miles south of Cape Ferrelo","Bay/Estuary/Ocean",0.0001,1,"Sample","B","ppth","Coastal EMAP","34"
